id,ship_name,mmsi,sog,cog,heading,nav_status,lon,lat,width,length,ship_type,p99_speed,iso_flag,iso_anomaly,p99_anomaly,speed_anomaly
1,WIM KAN,244750263,0.0,360.0,511,0,4.89655,52.37911,5,23,69,0.0,1,False,False,False
2,PIPKA,244024973,0.0,0.0,511,0,4.94021,52.37191,4,10,69,0.07300000000000005,1,False,False,False
3,MSC STELLA,352983000,0.0,135.0,135,5,18.45262,-33.91383,40,304,71,0.0,1,False,False,False
4,KRVE 59,244650597,0.0,360.0,511,0,4.1485,51.94916,4,10,40,0.09699999999999998,1,False,False,False
5,WILLI,211741170,0.0,360.0,511,5,10.05072,53.52865,6,25,37,0.0,1,False,False,False
6,SEAZIP 6,244650652,0.0,290.5,116,0,4.59085,52.45914,10,26,99,0.0,1,False,False,False
7,RT BORKUM,244130412,0.0,360.0,238,5,4.49112,51.9101,8,15,79,0.0,1,False,False,False
8,ST ERIK,265625300,0.0,107.1,511,15,11.96556,57.7121,6,35,69,0.0,1,False,False,False
9,AMOR NAVI,205469890,8.2,65.0,511,0,4.85411,51.79964,11,110,79,8.184,1,False,True,True
10,KOTA LEKAS,563172300,0.0,168.9,202,5,31.02786,-29.88056,37,255,70,0.0,1,False,False,False
11,ALBERTINA,267210214,7.2,304.3,511,0,3.7796,51.39205,12,110,69,9.04,1,False,False,False
12,JOCKA,367551860,0.0,360.0,511,4,-71.03735,42.35105,5,19,99,0.0,1,False,False,False
13,DRIELAKE,211626290,0.0,122.0,511,0,8.21036,53.1247,5,19,33,0.0,1,False,False,False
14,SPAARNEGRACHT,246452000,0.0,128.0,128,5,-76.57046,39.26006,25,168,70,0.0,1,False,False,False
15,ALPINE EAGLE,563178300,11.8,27.0,33,0,33.33152,32.63217,32,183,80,14.3,1,False,False,False
16,TENDER 15,244830655,0.0,360.0,511,15,4.48574,51.89637,4,11,69,0.988,1,False,False,False
17,HERMINE,248789000,17.2,115.6,118,0,1.85004,52.97122,32,217,70,17.5,1,False,False,False
18,BILL L LEDCOR,316029965,10.9,230.9,511,0,-122.94262,49.16094,6,16,90,10.891,1,False,True,True
19,ROCK HALL,368193830,0.2,255.0,123,12,-75.5925,39.58541,10,129,52,6.076,1,False,False,False
20,SENGLEA,215921000,0.2,124.7,57,5,14.54248,35.81642,13,25,52,5.732000000000001,1,False,False,False
21,PUTFORD DEFENDER,232017303,4.1,277.0,247,0,0.88893,54.09818,17,61,70,3.97,1,False,True,True
22,JULIET,319855000,0.0,355.8,11,5,2.62983,39.56128,9,44,37,0.0,1,False,False,False
23,THE BALTIC WHALE,219034332,0.0,150.5,206,0,11.22849,54.50309,26,148,60,0.0,1,False,False,False
24,GROSHERZOGINELISABET,211205920,0.0,267.3,198,5,8.46527,53.2359,8,47,36,0.0,1,False,False,False
25,SEAGAS,265704520,0.0,327.1,8,5,22.21718,60.44325,11,50,89,0.0,1,False,False,False
26,SKJARGARDTJENESTEN 1,257199500,0.0,89.0,133,5,10.43342,59.15568,6,15,54,0.0,1,False,False,False
27,FLORENTINA,270408000,0.0,360.0,511,0,4.46731,51.90262,10,80,69,0.0,1,False,False,False
28,SEAZIP 6,244650652,0.0,290.5,116,0,4.59085,52.45913,10,26,99,0.0,1,False,False,False
29,SY VENTOLEIRO,224429790,0.0,322.5,511,8,-8.70639,42.25736,6,22,36,0.0,1,False,False,False
30,BORG PARAT,257094290,0.0,337.4,48,0,16.54822,68.80094,10,35,52,0.0,1,False,False,False
31,ALISMA,244670157,0.0,356.1,511,5,4.22285,51.52754,12,90,80,0.0,1,False,False,False
32,EMERALD EXPRESS,304840000,10.2,307.6,302,0,-80.0639,26.08065,11,53,70,10.394,1,False,False,False
